Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,MIN,85,77,0.5246913580246914,25201.13664596273,1,2
2002,MIN,94,67,0.5838509316770186,25264.63354037267,1,1
2003,MIN,90,72,0.5555555555555556,24527.04938271605,1,1
2004,MIN,92,70,0.5679012345679012,25191.24844720497,1,1
2005,MIN,83,79,0.5123456790123457,26241.543209876545,3,3
2006,MIN,96,66,0.5925925925925926,28102.154320987655,4,1
2007,MIN,79,83,0.4876543209876543,29614.01851851852,1,3
2008,MIN,88,75,0.5398773006134969,29042.90740740741,1,2
2009,MIN,87,76,0.5337423312883436,28638.490797546012,3,1
2010,MIN,94,68,0.5802469135802469,33574.10493827161,3,1
2011,MIN,63,99,0.3888888888888889,34031.10493827161,3,5
2012,MIN,66,96,0.4074074074074074,31309.60248447205,2,5
2013,MIN,66,96,0.4074074074074074,28805.117283950618,4,4
2014,MIN,70,92,0.43209876543209874,27369.525,4,5
2015,MIN,83,79,0.5123456790123457,28351.39751552795,3,2
2016,MIN,59,103,0.36419753086419754,25801.604938271605,5,5
2017,MIN,85,77,0.5246913580246914,26719.45,1,2
2018,MIN,78,84,0.48148148148148145,25761.39751552795,3,2
2019,MIN,101,61,0.6234567901234568,25985.726708074533,1,1
